solvent,polymer,c_value,v_value,source_paper,table_name
benzene-d6,poly(methyl methacrylate),-7.623331814189471,0.52996,2024 - Molar Mass Determination for Small and Large Molecules Using Diffusion-Ordered Spectroscopy - SI,table10
benzene-d6,poly(methyl methacrylate),-7.58838029403677,0.52552,2024 - Molar Mass Determination for Small and Large Molecules Using Diffusion-Ordered Spectroscopy - SI,table10
benzene-d6,poly(methyl methacrylate),-7.512607063941288,0.53221,2024 - Molar Mass Determination for Small and Large Molecules Using Diffusion-Ordered Spectroscopy - SI,table10
benzene-d6,poly(methyl methacrylate),-7.5343643794466715,0.51415,2024 - Molar Mass Determination for Small and Large Molecules Using Diffusion-Ordered Spectroscopy - SI,table10
benzene-d6,poly(methyl methacrylate),-7.486103513077076,0.51461,2024 - Molar Mass Determination for Small and Large Molecules Using Diffusion-Ordered Spectroscopy - SI,table10
deuterium oxide,polyethylene oxide,-7.877194537152556,0.5723,2024 - Molar Mass Determination for Small and Large Molecules Using Diffusion-Ordered Spectroscopy - SI,table10
deuterium oxide,polyethylene oxide,-7.842301520724484,0.55987,2024 - Molar Mass Determination for Small and Large Molecules Using Diffusion-Ordered Spectroscopy - SI,table10
deuterium oxide,polyethylene oxide,-7.717785866937665,0.56339,2024 - Molar Mass Determination for Small and Large Molecules Using Diffusion-Ordered Spectroscopy - SI,table10
deuterium oxide,polyethylene oxide,-7.625031813700766,0.55747,2024 - Molar Mass Determination for Small and Large Molecules Using Diffusion-Ordered Spectroscopy - SI,table10
deuterium oxide,polyethylene oxide,-7.556330296503602,0.55169,2024 - Molar Mass Determination for Small and Large Molecules Using Diffusion-Ordered Spectroscopy - SI,table10
